<s>,START 1.0
याचिका,N_NN 0.00024576612002323605
दाखिल,V_VM 0.0003416300634455832
क्या,PR_PRQ 0.580952380952381
आजम,N_NN 0.0002122525582018857
खान,N_NN 0.0012846865364850976
गिरफ्तारी,N_NN 0.00010054068546405112
डर,N_NN 0.00040216274185620447
रामपुर,N_NN 6.702712364270074e-05
नहीं,RP_NEG 0.6469248291571754
आ,V_VM 0.009321620302586627
रहे,V_VAUX 0.024177449168207025
हैं,V_VAUX 0.08598890942698706
दिल्ली,N_NN 0.001094776352830779
2022,QT_QTC 0.002008838891120932
तक,P_SP 0.011424869703483408
जल,N_NN 0.0004245051164037714
संकट,N_NN 0.00031279324366593683
खत्म,N_NN 0.0008490102328075428
होने,V_VM 0.012201073694485115
का,P_SP 0.08424369129295368
दावा,N_NN 0.00032396443093972026
केजरीवाल,N_NN 0.00015639662183296842
सरकार,N_NN 0.0032619866839447694
महत्वाकांक्षी,JJ 0.000514668039114771
योजना,N_NN 0.00034630680548728717
लॉन्च,V_VM 0.00019521717911176182
पेशी,N_NN 4.468474909513383e-05
दौरान,N_NN 0.0012064882255686134
गैंगस्टर,N_NN 4.468474909513383e-05
मिली,V_VM 0.0020985846754514397
कॉन्स्टेबल,V_VAUX 0.0002957486136783734
फिर,CC_CCS 0.02663934426229508
हुआ,V_VM 0.012347486578818937
प्यार,N_NN 0.0004468474909513383
इसके,DM_DMD 0.030646235842771485
बाद,N_NN 0.0002122525582018857
सीएम,N_NN 0.00026810849457080296
कमलनाथ,N_NN 0.00014522543455918496
भांजे,N_NN 6.702712364270074e-05
रतुल,N_NN 8.936949819026766e-05
पुरी,N_NN 0.00016756780910675187
खिलाफ,N_NN 0.0008266678582599759
गैर,N_NN 0.00014522543455918496
जमानती,V_VM 0.00019521717911176182
वारंट,N_NN 7.819831091648421e-05
जारी,N_NN 0.0010277492291880781
किया,V_VM 0.029428989751098096
दूरी,N_NN 0.00022342374547566914
अफसरों,N_NN 7.819831091648421e-05
पहली,QT_QTO 0.25
पसंद;,N_NN 4.468474909513383e-05
दोनों,QT_QTC 0.021695460024106068
प्रदेशों,N_NN 0.00013405424728540148
कैडर,N_NN 4.468474909513383e-05
लिए,P_SP 0.033126233032007305
समिति,N_NN 0.0002904508691183699
गठित,N_NN 7.819831091648421e-05
अध्यक्ष,N_NN 0.0007037847982483579
फैसला,N_NN 0.0006926136109745743
कल,N_NN 0.0004915322400464721
नाम,N_NN 0.003083247687564234
सबसे,RP_INTF 0.3347457627118644
आगेN,_NST 0.0121765601217656
भारत,N_NN 0.005708476696903347
कहा,N_NN 0.002558201885696412
पाकिस्तान,N_NN 0.002859823942088565
सच्चाई,N_NN 0.00020108137092810223
स्वीकार,N_NN 0.0004245051164037714
कर,V_VM 0.03738408979990239
लेनी,V_VAUX 0.00022181146025878004
चाहिए,V_VAUX 0.008798521256931608
दूसरे,QT_QTO 0.20238095238095238
देशों,N_NN 0.0008378390455337593
मामले,N_NN 0.0011059475401045623
दखल,N_NN 0.00010054068546405112
बंद,N_NN 0.0007708119218910585
करे,V_VM 0.0010248901903367497
शख्स,N_NN 0.0002122525582018857
गलती,N_NN 0.00014522543455918496
कचरे,N_NN 4.468474909513383e-05
डाल,V_VM 0.0011224987798926305
दिए,V_VAUX 0.002365988909426987
16,QT_QTC 0.002008838891120932
लाख,N_NN 0.0006591000491532241
रुपये,N_NN 0.0013740560346753652
ट्रक,N_NN 7.819831091648421e-05
हुआ,V_VAUX 0.008354898336414049
फरार,N_NN 2.2342374547566916e-05
तो,N_NN 0.00033513561821350374
महाराष्ट्र:,N_NN 2.2342374547566916e-05
सांगली,N_NN 4.468474909513383e-05
रेस्क्यू,N_NN 7.819831091648421e-05
नाव,N_NN 0.00017873899638053532
पलटी,N_NN 3.351356182135037e-05
14,QT_QTC 0.002008838891120932
लोगों,N_NN 0.003999285044014478
मौत,N_NN 0.0011282899146521292
9,N_NN 2.2342374547566916e-05
शव,N_NN 0.0002122525582018857
अधीर,N_NN 0.00011171187273783457
रंजन,N_NN 0.00011171187273783457
चौधरी,N_NN 0.0002904508691183699
कहा,V_VM 0.018350414836505614
,RD_PUNC 0.8123803446075303
कश्‍मीर,N_NN 4.468474909513383e-05
हमारा,PR_PRP 0.0016246953696181965
आंतरिक,N_NN 4.468474909513383e-05
मामला,N_NN 0.0007931542964386255
राम,N_NN 0.0004468474909513383
माधव,N_NN 6.702712364270074e-05
बोले,N_NN 0.0008266678582599759
48,QT_QTC 0.0012053033346725592
घंटे,N_NN 0.0005809017382367398
हृदय,N_NN 0.0005697305509629563
परिवर्तन,N_NN 0.00015639662183296842
कर्ण,N_NN 2.2342374547566916e-05
मैं,PR_PRP 0.04061738424045491
पूरी,QT_QTF 0.0028735632183908046
तरह,N_NN 0.003764690111265025
फैसले,N_NN 0.0007931542964386255
विरोध,N_NN 0.0008043254837124089
नहीं,N_NN 0.0015639662183296842
कई,QT_QTF 0.1053639846743295
फायदे,N_NN 6.702712364270074e-05
बौखलाए,N_NN 2.2342374547566916e-05
जवाब,N_NN 0.0011394611019259126
आतंरिक,JJ 0.00038600102933607824
है,V_VM 0.03133235724743778
सिख,N_NN 7.819831091648421e-05
अमेरिकियों,N_NN 1.1171187273783458e-05
दिलाई,N_NN 3.351356182135037e-05
अपने,PR_PRF 0.5395033860045146
योगदान,N_NN 8.936949819026766e-05
याद,N_NN 0.0007261271727959247
पेश,N_NN 0.00020108137092810223
दौरे,N_NN 6.702712364270074e-05
गए,V_VM 0.0016593460224499756
गुलाम,N_NN 0.00010054068546405112
नबी,N_NN 7.819831091648421e-05
आजाद,N_NN 0.00012288306001161803
श्रीनगर,N_NN 0.00025693730729701953
एयरपोर्ट,N_NN 0.00037982036730863756
रोका,V_VM 0.00043923865300146415
रिपोर्टर,N_NN 4.468474909513383e-05
ब्लॉग,N_NN 8.936949819026766e-05
कर्फ्यू,N_NN 0.00011171187273783457
पास,N_NN 0.00027927968184458644
बिना,P_SP 0.0016489502664821412
चेकपोस्टों,N_NN 1.1171187273783458e-05
बीचN,_NST 0.0365296803652968
भटकती,V_VM 4.8804294777940456e-05
जिन्दगी,V_VAUX 7.393715341959335e-05
कुवैत,N_NN 1.1171187273783458e-05
भारतीय,N_NN 0.0009495509182715939
पत्नी,N_NN 0.0006144153000580901
व्हाट्सएप,N_NN 2.2342374547566916e-05
दिया,N_NN 0.00040216274185620447
तीन,QT_QTC 0.041783848935315386
तलाक,N_NN 0.0007484695473434917
अनुच्छेद,N_NN 0.0008154966709861924
सवाल,N_NN 0.0007819831091648421
नीतीश,N_NN 0.0005250458018678225
कुमार,N_NN 0.0008825237946288931
टाला,N_NN 2.2342374547566916e-05
जेडीयू,N_NN 6.702712364270074e-05
अब,N_NN 0.0006702712364270075
एजेंडा,N_NN 2.2342374547566916e-05
चलेगा,V_VM 0.00019521717911176182
आजN,_NST 0.0289193302891933
जो,P 0.24644549763033174
वह,PR_PRP 0.07128350934199837
विदर्भ,N_NN 2.2342374547566916e-05
परसों,N_NN 2.2342374547566916e-05
मुंबई,N_NN 0.0006702712364270075
भी,RP_RPD 0.4276243093922652
हो,V_VM 0.04660810151293314
सकता,V_VAUX 0.016266173752310535
राज,N_NN 0.00032396443093972026
ठाकरे,N_NN 6.702712364270074e-05
उन्नाव,N_NN 0.0006144153000580901
रेप,N_NN 0.0005697305509629563
केस:,N_NN 0.00011171187273783457
अदालत,N_NN 0.00026810849457080296
कुलदीप,N_NN 0.00017873899638053532
सेंगर,N_NN 0.00012288306001161803
आरोप,N_NN 0.0009718932928191608
तय,N_NN 0.0002904508691183699
किए,V_VM 0.0030258662762323086
200,QT_QTC 0.002008838891120932
साल,N_NN 0.003664149425800974
खाली,JJ 0.0024446731857951623
पड़ा,V_VM 0.0007320644216691069
ये,DM_DMD 0.1485676215856096
गांव,N_NN 0.0004245051164037714
भूत,N_NN 1.1171187273783458e-05
रहते,V_VM 0.001805758906783797
यहां,N_NN 0.0011282899146521292
मध्य,N_NN 0.00031279324366593683
पॉवर,N_NN 4.468474909513383e-05
प्लान्ट,N_NN 2.2342374547566916e-05
ज़हरीली,JJ 0.0002573340195573855
राख,N_NN 6.702712364270074e-05
हुई,V_VM 0.007711078574914592
लीक,N_NN 4.468474909513383e-05
एस्सार,N_NN 2.2342374547566916e-05
गांववालों,N_NN 2.2342374547566916e-05
हरकत,N_NN 2.2342374547566916e-05
मौसम,N_NN 0.00034630680548728717
विभाग,N_NN 0.00036864918003485413
अफवाह,N_NN 7.819831091648421e-05
फैलाने,N_NN 4.468474909513383e-05
दर्ज,N_NN 0.00031279324366593683
करना,V_VM 0.009956076134699853
मथुरा:,N_NN 2.2342374547566916e-05
वृन्दावन,N_NN 2.2342374547566916e-05
प्रेम,N_NN 0.00046918986549890525
मंदिर,N_NN 0.00027927968184458644
बम,N_NN 0.00012288306001161803
उड़ाने,N_NN 5.5855936368917286e-05
धमकी,N_NN 0.00015639662183296842
पुलिसप्रशासन,N_NN 2.2342374547566916e-05
मचा,V_VM 0.0007320644216691069
हड़कप,V_VAUX 0.0001478743068391867
सड़क,N_NN 0.00034630680548728717
किनारे,N_NN 0.00026810849457080296
पुल,N_NN 0.00011171187273783457
लटका,V_VM 0.00019521717911176182
19,QT_QTC 0.0024106066693451184
लाशें,N_NN 3.351356182135037e-05
लिखा,V_VM 0.003611517813567594
‘‘देशभक्त,N_NN 1.1171187273783458e-05
बनिए,N_NN 1.1171187273783458e-05
वियाग्रा,N_NN 1.1171187273783458e-05
कीजिए’’,N_NN 1.1171187273783458e-05
अयोध्या,N_NN 0.00025693730729701953
रोजाना,N_NN 0.00022342374547566914
सुनवाई,N_NN 0.00018991018365431878
मुस्लिम,N_NN 0.00046918986549890525
पक्ष,N_NN 0.00043567630367755486
वकील,N_NN 0.00031279324366593683
असमर्थता,JJ 0.0002573340195573855
जताई,N_NN 8.936949819026766e-05
एग्ज़ाम,N_NN 1.1171187273783458e-05
देने,V_VM 0.004734016593460224
नींद,N_NN 0.00016756780910675187
जागा,N_NN 1.1171187273783458e-05
लड़का,N_NN 0.00010054068546405112
दादी,N_NN 0.00016756780910675187
बुला,V_VM 0.0007320644216691069
पुलिस,N_NN 0.0014745967201394165
फिर,N_NN 0.00033513561821350374
आंशिक,JJ 0.0007720020586721565
रूप,N_NN 0.0026475713838866794
बहाल,N_NN 4.468474909513383e-05
की,V_VM 0.0030258662762323086
गई,V_VAUX 0.01678373382624769
फोन,N_NN 0.00030162205639215335
इंटरनेट,N_NN 0.00013405424728540148
सेवा,N_NN 0.0005362169891416059
जुमे,N_NN 2.2342374547566916e-05
नमाज,N_NN 5.5855936368917286e-05
ढील,N_NN 4.468474909513383e-05
बड़ी,JJ 0.014668039114770973
राहत:,N_NN 2.2342374547566916e-05
कंपनी,N_NN 0.0005027034273202556
दिवालिया,V_VM 9.760858955588091e-05
हुई,V_VAUX 0.005693160813308688
घर,N_NN 0.0032173019348496357
खरीदारों,N_NN 3.351356182135037e-05
माना,V_VM 0.00214738897022938
जाएगा,V_VAUX 0.004658040665434381
लेनदार,N_NN 2.2342374547566916e-05
कहां,N_NN 0.0002122525582018857
लाएंगे,N_NN 4.468474909513383e-05
वो,DM_DMD 0.04863424383744171
आस्था,N_NN 7.819831091648421e-05
समर्पण,N_NN 2.2342374547566916e-05
मोदी,N_NN 0.002904508691183699
जिस,P 0.05687203791469194
सोलो,N_NN 1.1171187273783458e-05
जड़ीबूटी,N_NN 1.1171187273783458e-05
किया,N_NN 0.0010054068546405113
जिक्र,N_NN 0.00015639662183296842
जानिए,V_VM 0.0008784773060029283
उसमें,PR_PRP 0.004061738424045491
खास,N_NN 4.468474909513383e-05
बॉलीवुड,N_NN 0.0007931542964386255
डायरेक्टर,N_NN 0.00013405424728540148
ट्वीट,N_NN 0.0007149559855221413
अगर,CC_CCS 0.040983606557377046
उनके,PR_PRP 0.03472786352558895
भले,N_NN 0.0002122525582018857
फिर,RB 0.13806380638063806
साढ़े,QT_QTC 0.0016070711128967456
चार,QT_QTC 0.017276014463640015
देरी,N_NN 6.702712364270074e-05
पहुंची,N_NN 0.00010054068546405112
समझौता,N_NN 0.00014522543455918496
एक्सप्रेस,N_NN 0.00015639662183296842
वाघा,N_NN 2.2342374547566916e-05
सीमा,N_NN 0.0005362169891416059
रोक,V_VM 0.0007320644216691069
थी,V_VAUX 0.0322365988909427
ट्रेन,N_NN 0.00027927968184458644
घंटों,N_NN 0.00010054068546405112
फंसे,V_VM 0.00029282576866764275
117,QT_QTC 0.0012053033346725592
यात्री,N_NN 0.0002122525582018857
हटने,V_VM 0.0007320644216691069
विदेश,N_NN 0.00045801867822512177
चर्चा,N_NN 0.0007261271727959247
करने,V_VM 0.023474865788189362
चीन,N_NN 0.0008713526073551097
रवाना,V_VM 0.0007320644216691069
अनुच्‍छेद,N_NN 6.702712364270074e-05
अगलेN,_NST 0.0030441400304414
एक,QT_QTC 0.3101647247890719
हफ्ते,N_NN 0.00024576612002323605
क्‍या,PR_PRQ 0.047619047619047616
होगा,V_VM 0.003953147877013177
में,N_NN 0.0007931542964386255
बिखरने,V_VM 9.760858955588091e-05
चल,V_VM 0.00322108345534407
रहा,V_VAUX 0.02365988909426987
एमी,N_NN 1.1171187273783458e-05
जैक्सन,N_NN 1.1171187273783458e-05
बेबी,N_NN 3.351356182135037e-05
बम्प,N_NN 1.1171187273783458e-05
तस्वीर,N_NN 0.00040216274185620447
रही,V_VAUX 0.02166358595194085
वायरल,N_NN 0.00033513561821350374
बोलीं,N_NN 0.0002122525582018857
33,QT_QTC 0.0012053033346725592
हफ्तों,N_NN 5.5855936368917286e-05
प्रेग्नेंसी,N_NN 1.1171187273783458e-05
महिला,N_NN 0.0009718932928191608
केस,N_NN 0.00027927968184458644
वापस,N_NN 0.00034630680548728717
इनकार,V_VAUX 0.00022181146025878004
ससुराल,N_NN 6.702712364270074e-05
वालों,P_SP 0.0008244751332410706
काट,V_VM 0.0007320644216691069
उसकी,PR_PRP 0.015434606011372868
नाक,N_NN 0.00015639662183296842
अक्षय,N_NN 0.00024576612002323605
तैमूर,N_NN 0.00014522543455918496
अली,N_NN 0.0004468474909513383
कही,V_VM 0.001805758906783797
बात,N_NN 0.0052057732695830914
तापसी,N_NN 0.00010054068546405112
पन्नू,N_NN 5.5855936368917286e-05
विद्या,N_NN 0.00010054068546405112
बालन,N_NN 2.2342374547566916e-05
दिया,V_VM 0.008394338701805759
साथ,N_NN 0.0024241476384110104
अमेरिकी,N_NN 0.00016756780910675187
सांसदों,N_NN 0.00027927968184458644
नसीहत,V_VAUX 0.0001478743068391867
बदले,N_NN 0.00018991018365431878
कार्रवाई,N_NN 0.00045801867822512177
बचें,V_VM 9.760858955588091e-05
कैलाश,N_NN 2.2342374547566916e-05
मानसरोवर,N_NN 1.1171187273783458e-05
यात्रियों,N_NN 0.00010054068546405112
वीजा,N_NN 1.1171187273783458e-05
दिए,V_VM 0.0013177159590043923
गए,V_VAUX 0.016414048059149724
चीनी,N_NN 0.00030162205639215335
सूत्र,N_NN 0.00015639662183296842
आधार,N_NN 0.0006032441127843067
कार्ड,N_NN 0.00012288306001161803
बनवाने,V_VM 0.00014641288433382137
रोटी,N_NN 3.351356182135037e-05
निकलते,V_VM 0.00043923865300146415
लोग,N_NN 0.0031837883730282852
शाह,N_NN 0.0008154966709861924
फैसल,N_NN 2.2342374547566916e-05
घाटी,N_NN 0.0005362169891416059
80,QT_QTC 0.0012053033346725592
आबादी,N_NN 0.00026810849457080296
कैद,N_NN 0.00013405424728540148
हर,QT_QTF 0.044061302681992334
चेहरे,N_NN 0.00037982036730863756
हार,N_NN 0.00026810849457080296
भावना,N_NN 0.0002904508691183699
मेलबर्न,N_NN 2.2342374547566916e-05
फिल्म,N_NN 0.0028151391929934315
फेस्टिवल,N_NN 2.2342374547566916e-05
नजर,N_NN 0.0009495509182715939
आए,V_VM 0.0018545632015617374
शाहरुख,N_NN 0.00018991018365431878
हिट,N_NN 0.00017873899638053532
फिल्में,N_NN 0.00031279324366593683
इस,N_NN 0.0010277492291880781
राज्य,N_NN 0.0010054068546405113
पेट्रोल,N_NN 6.702712364270074e-05
डीजल,N_NN 3.351356182135037e-05
कीमतें,N_NN 6.702712364270074e-05
225,QT_QTC 0.0008035355564483728
बढ़ीं,N_NN 2.2342374547566916e-05
वैट,N_NN 2.2342374547566916e-05
छूट,N_NN 0.00010054068546405112
पिता,N_NN 0.0006814424237007909
मिलने,V_VM 0.0020497803806734994
कोट,N_NN 0.00010054068546405112
लखपत,N_NN 2.2342374547566916e-05
जेल,N_NN 0.0004915322400464721
नवाज,N_NN 0.00015639662183296842
शरीफ,N_NN 0.00017873899638053532
बेटी,N_NN 0.0004245051164037714
मरियम,N_NN 0.00013405424728540148
गिरफ्तार,N_NN 0.00041333392912998795
मुद्दे,N_NN 0.0005138746145940391
सिंगर,N_NN 5.5855936368917286e-05
साधा,N_NN 7.819831091648421e-05
निशाना,N_NN 0.00026810849457080296
सिर्फ,QT_QTF 0.017241379310344827
चुनिंदा,JJ 0.00038600102933607824
चिंता,N_NN 0.00037982036730863756
है,N_NN 0.005004691898654989
रक्षा,N_NN 0.00034630680548728717
राजनाथ,N_NN 0.00012288306001161803
हमला,PR_PRP 0.00040617384240454913
जैसा,N_NN 0.00018991018365431878
पड़ोसी,JJ 0.001029336078229542
हमारे,PR_PRP 0.012591389114541024
बगल,N_NN 0.00010054068546405112
बैठा,V_VM 0.0014153245485602733
भगवान,N_NN 0.00026810849457080296
कि,N_NN 0.00012288306001161803
विजय,N_NN 0.00041333392912998795
माल्या,N_NN 0.00010054068546405112
बेटे,N_NN 0.0007931542964386255
सिद्धार्थ,N_NN 0.00016756780910675187
खुलासा,V_VAUX 0.0004436229205175601
शराब,N_NN 8.936949819026766e-05
हाथ,N_NN 0.001340542472854015
लगाया,V_VM 0.0016593460224499756
रखी,V_VM 0.0008296730112249878
दलीलें,V_VAUX 0.0001478743068391867
रामलला,N_NN 2.2342374547566916e-05
चूंकि,N_NN 5.5855936368917286e-05
नाबालिग,N_NN 3.351356182135037e-05
लिहाजा,N_NN 4.468474909513383e-05
उनकी,PR_PRP 0.022136474411047928
ओर,N_NN 0.001954957772912105
से,N_NN 0.0002904508691183699
लिया,V_VM 0.00424597364568082
बड़ा,JJ 0.010422027792074112
भारतीय,JJ 0.012223365928975811
फिल्मों,N_NN 0.0005920729255105233
रिलीज,N_NN 0.00023459493274945262
लगाई,V_VM 0.0009272816007808687
रोक,N_NN 0.00016756780910675187
मलाला,N_NN 2.2342374547566916e-05
यूसुफजई,N_NN 2.2342374547566916e-05
फिक्र,N_NN 0.00015639662183296842
2,QT_QTC 0.005222981116914423
पन्नों,N_NN 4.468474909513383e-05
चिट्ठी,N_NN 0.00018991018365431878
लिखीं,V_VM 0.00014641288433382137
बातें,N_NN 0.0007819831091648421
मुंह,N_NN 0.0005920729255105233
ऑक्टोपस,N_NN 1.1171187273783458e-05
रखकर,V_VM 0.0008296730112249878
लड़की,N_NN 0.00045801867822512177
खिंचवा,V_VM 4.8804294777940456e-05
फोटो,V_VAUX 7.393715341959335e-05
जैसे,CC_CCS 0.01707650273224044
हंसी,N_NN 8.936949819026766e-05
पहुंच,V_VM 0.0010248901903367497
अस्पताल,N_NN 0.00027927968184458644
"मेरे,N_NN 2.2342374547566916e-05
मेरे,PR_PRP 0.019293257514216084
परिवार,N_NN 0.0009607221055453774
सुषमा,N_NN 0.001050091603735645
स्वराज,N_NN 0.0008936949819026766
हमेशाN,_NST 0.0045662100456621
देवी,N_NN 0.00014522543455918496
रहेंगी",N_NN 2.2342374547566916e-05
आया,V_VAUX 0.0017005545286506469
रिएक्शन,N_NN 8.936949819026766e-05
जब,P 0.16350710900473933
बच्ची,N_NN 0.00011171187273783457
थी,N_NN 0.0014522543455918495
टीवी,N_NN 0.00025693730729701953
सीरियल,N_NN 7.819831091648421e-05
संजीवनी,N_NN 2.2342374547566916e-05
इन,DM_DMD 0.05063291139240506
मुद्दों,N_NN 0.00020108137092810223
आधारित,N_NN 0.00014522543455918496
होगी,N_NN 0.00040216274185620447
शो,N_NN 0.00033513561821350374
कहानी,N_NN 0.0010165780419142947
दुनिया,N_NN 0.0013628848474015818
बारीक,JJ 0.00012866700977869275
सोना,N_NN 6.702712364270074e-05
नाखून,N_NN 1.1171187273783458e-05
दस,QT_QTC 0.010445962233828847
लाख,QT_QTC 0.00562474889513861
गुना,N_NN 0.00015639662183296842
पतला,N_NN 1.1171187273783458e-05
सफर,N_NN 0.00023459493274945262
सकेंगे,V_VAUX 0.0002957486136783734
शॉपिंग,N_NN 8.936949819026766e-05
रेलवे,N_NN 0.00030162205639215335
ट्रेनों,N_NN 0.00011171187273783457
शुरू,N_NN 0.0012846865364850976
बच्चे,N_NN 0.0008490102328075428
हत्या,N_NN 0.00033513561821350374
काटने,V_VM 0.0004880429477794046
कोशिश,N_NN 0.0007484695473434917
थे,V_VAUX 0.032680221811460256
हत्यारे,V_VAUX 7.393715341959335e-05
देखा,V_VM 0.004392386530014641
तो,V_VAUX 0.0002957486136783734
अमेरिका,N_NN 0.0007484695473434917
बोला,N_NN 0.0002904508691183699
हमारी,PR_PRP 0.007717303005686434
नीति,N_NN 0.00031279324366593683
कोई,DM_DMI 0.5755627009646302
बदलाव,N_NN 0.00027927968184458644
भारतपाक,N_NN 8.936949819026766e-05
शांति,N_NN 0.0008936949819026766
संयम,N_NN 0.00012288306001161803
बरतें,V_VM 9.760858955588091e-05
सेना,N_NN 0.0009830644800929442
प्रमुख,JJ 0.0057900154400411736
जनरल,N_NN 0.00014522543455918496
बिपिन,N_NN 4.468474909513383e-05
रावत,N_NN 5.5855936368917286e-05
सुरक्षा,N_NN 0.0009942356673667276
व्यवस्था,N_NN 0.00026810849457080296
जानकारी,N_NN 0.0007149559855221413
उत्तर,N_NN 0.0010389204164618616
प्रदेश:,N_NN 0.00010054068546405112
संपत्ति,N_NN 0.00027927968184458644
विवाद,N_NN 0.0004915322400464721
मांबेटे,N_NN 2.2342374547566916e-05
पीटपीटकर,V_VM 9.760858955588091e-05
आगरा,N_NN 0.00012288306001161803
मॉब,N_NN 0.00012288306001161803
लिंचिंग,N_NN 0.00012288306001161803
दर्ज,JJ 0.0002573340195573855
बच्चा,N_NN 0.00039099155458242104
चोर,N_NN 0.00030162205639215335
शक,N_NN 0.00010054068546405112
युवक,N_NN 0.00024576612002323605
पीटा,V_VM 9.760858955588091e-05
था,V_VAUX 0.0644731977818854
राहुल,N_NN 0.0008378390455337593
गांधी,N_NN 0.0009607221055453774
बाढ़,N_NN 0.00034630680548728717
पीड़ितों,N_NN 3.351356182135037e-05
मदद,N_NN 0.0010389204164618616
प्रधानमंत्री,N_NN 0.0008825237946288931
करूंगा,N_NN 4.468474909513383e-05
हॉर्न,N_NN 3.351356182135037e-05
बजाने,N_NN 2.2342374547566916e-05
बवाल,V_VAUX 0.00022181146025878004
70,QT_QTC 0.0024106066693451184
बुजुर्ग,N_NN 0.00015639662183296842
चाकू,N_NN 7.819831091648421e-05
मारकर,V_VM 0.00039043435822352365
हत्या,V_VAUX 0.0003696857670979667
घायल,N_NN 0.0002904508691183699
